,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,nikolskoye,45,179,12.05600000000003,92,75,6.0
1,bredasdorp,-59,20,69.80000000000001,68,100,2.57
2,ferkessedougou,10,-5,80.042,45,55,1.79
3,bluff,-56,166,58.44199999999999,86,99,3.64
4,okha,55,147,8.744000000000074,94,100,8.03
5,agua prieta,31,-109,40.94600000000005,39,0,1.34
6,butaritari,6,176,81.5,80,98,8.76
7,gualaco,15,-86,66.92000000000007,92,58,0.87
8,new norfolk,-51,140,59.27000000000007,47,3,1.34
9,longyearbyen,84,20,19.4,73,75,6.69
10,zhanaozen,42,54,47.08399999999999,61,0,6.16
11,atuona,-2,-120,79.39400000000008,77,90,10.62
12,punta arenas,-73,-116,44.294000000000075,81,0,3.09
13,husavik,66,-16,30.2,86,40,1.54
14,lavrentiya,75,-170,-12.60399999999995,78,0,1.59
15,ushuaia,-72,-29,44.6,81,75,2.57
16,new richmond,48,-66,19.43600000000007,68,24,8.75
17,tecoanapa,12,-100,71.924,85,0,1.56
18,clearwater,28,-84,70.41200000000006,94,1,5.66
19,kieta,0,158,81.78800000000004,77,100,1.65
20,lebu,-31,-102,57.88399999999999,92,96,2.2
21,castro,-48,-107,51.49400000000007,76,0,1.54
22,barrow,89,-164,-7.599999999999952,84,90,7.2
23,gladstone,-24,151,86.0,66,83,5.66
24,am timan,11,20,74.984,19,1,5.37
25,busselton,-63,79,62.24000000000002,92,100,1.34
26,ribeira grande,27,-41,60.8,88,75,8.75
27,thompson,63,-101,-32.799999999999955,68,75,6.17
28,kitui,-2,39,77.18000000000004,57,77,1.94
29,vyazemskiy,47,135,-5.15199999999998,91,100,1.8
30,jamestown,-37,-11,67.76600000000002,81,94,6.54
31,sikandarpur,26,84,74.39000000000001,35,0,4.12
32,hermanus,-60,14,69.00800000000001,80,97,3.84
33,padang,-7,88,91.4,55,20,3.6
34,qaanaaq,81,-93,10.832000000000015,89,100,0.25
35,bombay,19,72,90.5,21,0,1.54
36,bambous virieux,-29,75,86.97200000000004,66,40,7.2
37,hilo,14,-151,61.483999999999995,68,90,2.06
38,yellowknife,83,-106,-45.18399999999994,66,1,1.54
39,kapaa,20,-170,62.25800000000001,77,1,3.6
40,cananea,31,-110,40.891999999999996,40,0,0.89
41,rikitea,-57,-116,77.46800000000009,75,37,5.41
42,hostotipaquillo,21,-104,54.932000000000016,65,0,0.52
43,abnub,28,32,67.1,32,0,0.8
44,petropavlovsk-kamchatskiy,50,161,23.0,100,75,3.0
45,saint-philippe,-33,57,83.93000000000004,62,0,5.14
46,olafsvik,57,-30,33.65600000000003,85,0,6.68
47,cherskiy,82,159,-6.861999999999959,81,0,0.41
48,sitka,52,-141,30.2,69,90,1.54
49,arraial do cabo,-39,-32,72.08600000000007,78,95,2.95
50,muros,45,-15,42.008,95,100,0.45
51,conakry,8,-16,77.0,88,75,3.74
52,pevek,88,164,-9.975999999999935,86,0,1.4
53,parana,-32,-60,68.0,85,0,2.69
54,monclova,27,-101,56.174000000000014,37,0,0.83
55,tanete,-7,120,88.07000000000006,57,33,4.16
